pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion,
Mongolia,1,0,0,1,0,2020-03-16T02:49:24Z,
Nepal,1,0,1,0,0,2020-03-16T02:49:24Z,
República Centroafricana,1,0,0,1,0,2020-03-16T02:49:24Z,
República del Congo,1,0,0,1,0,2020-03-16T02:49:24Z,
Ruanda,1,0,0,1,0,2020-03-16T02:49:24Z,
San Vincente y las Granadinas,1,0,0,1,0,2020-03-16T02:49:24Z,
Sudan,1,1,0,0,100,2020-03-16T02:49:24Z,
Surinam,1,0,0,1,0,2020-03-16T02:49:24Z,
Togo,1,0,0,1,0,2020-03-16T02:49:24Z,
Uzbekistan,1,0,0,1,0,2020-03-16T02:49:24Z,
Palestina,0,0,0,0,NaN,2020-03-16T02:49:24Z,
